domainID,siteID,plotID,subplotID,clipCellNumber,clipID,sampleID,date,ovenInDate,ovenOutDate,weighDate,herbGroup,qaDryMass,dryMass,measuredBy,recordedBy,enteredBy,remarks
NA,NA,NA,NA,146,NIWO_050_0146,NEON.hbp.NIWO0500146.20150803.BRY,2015-08-14T15:14:27.390Z,2015-08-05T16:15:00.000Z,2015-08-10T18:51:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,1.54,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,194,NIWO_018_0194,NEON.hbp.NIWO0180194.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-05T16:30:00.000Z,2015-08-10T18:02:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,174,NIWO_067_0174,NEON.hbp.NIWO0670174.20150803.WST,2015-08-14T15:14:27.390Z,2015-08-05T16:49:00.000Z,2015-08-10T18:44:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,11.71,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,194,NIWO_018_0194,NEON.hbp.NIWO0180194.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T16:30:00.000Z,2015-08-10T18:02:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,1.01,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,146,NIWO_050_0146,NEON.hbp.NIWO0500146.20150803.WSG,2015-08-14T15:14:27.390Z,2015-08-05T16:15:00.000Z,2015-08-10T18:51:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,194,NIWO_018_0194,NEON.hbp.NIWO0180194.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T16:30:00.000Z,2015-08-10T18:02:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,22.29,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,146,NIWO_050_0146,NEON.hbp.NIWO0500146.20150803.CSG,2015-08-14T15:14:27.390Z,2015-08-05T16:15:00.000Z,2015-08-10T18:51:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,1.88,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,194,NIWO_018_0194,NEON.hbp.NIWO0180194.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T16:30:00.000Z,2015-08-10T18:02:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,194,NIWO_018_0194,NEON.hbp.NIWO0180194.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-05T16:30:00.000Z,2015-08-10T18:02:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,42,NIWO_008_0042,NEON.hbp.NIWO0080042.20150804.BRY,2015-08-14T15:14:27.390Z,2015-08-05T20:25:00.000Z,2015-08-10T19:14:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,2.68,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_058_0013,NEON.hbp.NIWO0580013.20150804.BRY,2015-08-13T21:08:32.507Z,2015-08-05T14:35:00.000Z,2015-08-10T18:32:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,42,NIWO_008_0042,NEON.hbp.NIWO0080042.20150804.CSG,2015-08-14T15:14:27.390Z,2015-08-05T20:25:00.000Z,2015-08-10T19:14:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,2.76,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_058_0013,NEON.hbp.NIWO0580013.20150804.CSG,2015-08-13T21:08:32.507Z,2015-08-05T14:35:00.000Z,2015-08-10T18:32:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,0.08,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,31,42,NIWO_008_0042,NEON.hbp.NIWO0080042.20150804.WSG,2015-08-14T15:14:27.390Z,2015-08-05T20:25:00.000Z,2015-08-10T19:14:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,NA,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_058_0013,NEON.hbp.NIWO0580013.20150804.WSG,2015-08-13T21:08:32.507Z,2015-08-05T14:35:00.000Z,2015-08-10T18:32:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,42,NIWO_008_0042,NEON.hbp.NIWO0080042.20150804.LFB,2015-08-14T15:14:27.390Z,2015-08-05T20:25:00.000Z,2015-08-10T19:14:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,5.39,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_058_0013,NEON.hbp.NIWO0580013.20150804.LFB,2015-08-13T21:08:32.507Z,2015-08-05T14:35:00.000Z,2015-08-10T18:32:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,42,NIWO_008_0042,NEON.hbp.NIWO0080042.20150804.FRB,2015-08-14T15:14:27.390Z,2015-08-05T20:25:00.000Z,2015-08-10T19:14:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,10.68,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_058_0013,NEON.hbp.NIWO0580013.20150804.FRB,2015-08-13T21:08:32.507Z,2015-08-05T14:35:00.000Z,2015-08-10T18:32:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,0.85,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,42,NIWO_008_0042,NEON.hbp.NIWO0080042.20150804.WST,2015-08-14T15:14:27.390Z,2015-08-05T20:25:00.000Z,2015-08-10T19:14:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,13,NIWO_058_0013,NEON.hbp.NIWO0580013.20150804.WST,2015-08-13T21:08:32.507Z,2015-08-05T14:35:00.000Z,2015-08-10T18:32:00.000Z,2015-08-10T00:00:00.000Z,Woody-stemmed Plants,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,174,NIWO_067_0174,NEON.hbp.NIWO0670174.20150803.BRY,2015-08-14T15:14:27.390Z,2015-08-05T16:49:00.000Z,2015-08-10T18:44:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,1.02,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
